id,text,Hello,Done,Connect,Order,Changing,Return,Other,Inform,Request,ID_product,size_product,color_product,material_product,cost_product,amount_product,name_promotion,content_promotion,Id member,phone member,addr member,level member,benefit member,feedback,shiping fee,size customer,height customer,weight customer,addr store,phone store
383651,e đi đơn túi đá này cho mình bt nha chị,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383652,dạ chị vậy để mai bên e chuyển khoản cho mình nha chị,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383653,Khách 97: Hnay xem k ưng j cả,,,,,,,Khách 97: Hnay xem k ưng j cả,,,,,,,,,,,,,,,,,,,,,,
383654,Khách 97: Mình k b ah,,,,,,,Khách 97: Mình k b ah,,,,,,,,,,,,,,,,,,,,,,
383655,đỡ phải CK nè chị,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383656,dạ chị mình đặt thêm gì bên e trừ cho mình luôn nè chị,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383657,dạ chị mình trừ lỗi luôn đúng không ạ chị,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383658,Khách 97: Còn lại bn tiền thì ck trả c nốt nhé,,,,,,,Khách 97: Còn lại bn tiền thì ck trả c nốt nhé,,,,,,,,,,,,,,,,,,,,,,
383659,Khách 97: E kt lại r trừ tiền túi đá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383660,Khách 97: Bên e vừa gọi chốt đơn túi đá cho c đó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383661,Khách 97: E ơi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383662,dạ chị do cuối tuần bên e gộp lại đi chuyển 1 lần luôn ạ vì bên e ra ngân hàng nộp tiền mới chuyển được ạ chị mong chị thông cảm đợi cuối tuần bên e chuyển liền luôn ạ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383663,dạ vâng ạ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383664,Khách 97: Hoàng tuấn anh kia e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383665,tên chủ thẻ ạ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383666,Khách 97: Tại c có vc cần mà tk hiện tại c k đủ tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
